"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"phoenix:Observation_Information:1       ","Class","Observation_Information","1.0","phoenix","The Observation_Information class provides information about a science observation.","geo","","","","","","","","","","",""
"phoenix:Observation_Information:2        phoenix:mission_phase_name:1            ","Attribute","mission_phase_name","n/a","phoenix","The mission_phase_name identifies a time period within the mission.","geo","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"phoenix:Observation_Information:2        phoenix:mission_phase_name:2             Value:EXTENDED MISSION","Value","EXTENDED MISSION","","","The Mars Phoenix Extended Mission Phase."
"phoenix:Observation_Information:2        phoenix:mission_phase_name:2             Value:PRIMARY MISSION","Value","PRIMARY MISSION","","","The Mars Phoenix Primary Mission Phase."
"phoenix:Observation_Information:2        phoenix:product_type:1                  ","Attribute","product_type","n/a","phoenix","The product_type attribute identifies a group of data products within a collection that have some property in common. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"phoenix:Observation_Information:2        phoenix:product_type:2                   Value:EGA_AVG_CALLS","Value","EGA_AVG_CALLS","","","TEGA Engineering data, Evolved Gas Analyzer Average # of Calls to Task Queue."
"phoenix:Observation_Information:2        phoenix:product_type:2                   Value:EGA_AVG_IDLE_CALLS","Value","EGA_AVG_IDLE_CALLS","","","TEGA Engineering data, Evolved Gas Analyzer Average # of Idle Calls to Task Queue."
"phoenix:Observation_Information:2        phoenix:product_type:2                   Value:EGA_EMISSION_CUR","Value","EGA_EMISSION_CUR","","","TEGA Engineering data, Evolved Gas Analyzer Emission Current Monitor."
"phoenix:Observation_Information:2        phoenix:product_type:2                   Value:EGA_FILAMENT_1","Value","EGA_FILAMENT_1","","","TEGA Engineering data, Evolved Gas Analyzer Filament 1 in Use."
"phoenix:Observation_Information:2        phoenix:product_type:2                   Value:EGA_FILAMENT_1_SEL","Value","EGA_FILAMENT_1_SEL","","","TEGA Engineering data, Evolved Gas Analyzer Filament 1 in Use."
"phoenix:Observation_Information:2        phoenix:product_type:2                   Value:EGA_FILAMENT_2","Value","EGA_FILAMENT_2","","","TEGA Engineering data, Evolved Gas Analyzer Filament 2 in Use."
"phoenix:Observation_Information:2        phoenix:product_type:2                   Value:EGA_FILAMENT_2_SEL","Value","EGA_FILAMENT_2_SEL","","","TEGA Engineering data, Evolved Gas Analyzer Filament 2 in Use."
"phoenix:Observation_Information:2        phoenix:product_type:2                   Value:EGA_FILAMENT_CUR_1","Value","EGA_FILAMENT_CUR_1","","","TEGA Engineering data, Evolved Gas Analyzer Filament 1 Current Monitor."
"phoenix:Observation_Information:2        phoenix:product_type:2                   Value:EGA_FILAMENT_CUR_2","Value","EGA_FILAMENT_CUR_2","","","TEGA Engineering data, Evolved Gas Analyzer Filament 2 Current Monitor."
"phoenix:Observation_Information:2        phoenix:product_type:2                   Value:EGA_GEC_CUR","Value","EGA_GEC_CUR","","","TEGA Engineering data, Evolved Gas Analyzer Gas Enrichment Cell Current Monitor."
"phoenix:Observation_Information:2        phoenix:product_type:2                   Value:EGA_ION_PUMP_CUR","Value","EGA_ION_PUMP_CUR","","","TEGA Engineering data, Evolved Gas Analyzer Ion Pump Current Monitor."
"phoenix:Observation_Information:2        phoenix:product_type:2                   Value:EGA_ION_PUMP_VOLT","Value","EGA_ION_PUMP_VOLT","","","TEGA Engineering data, Evolved Gas Analyzer Ion Pump Voltage Monitor."
"phoenix:Observation_Information:2        phoenix:product_type:2                   Value:EGA_MAGNET_TEMP_1","Value","EGA_MAGNET_TEMP_1","","","TEGA Engineering data, Evolved Gas Analyzer Magnet 1 Temperature."
"phoenix:Observation_Information:2        phoenix:product_type:2                   Value:EGA_MAGNET_TEMP_2","Value","EGA_MAGNET_TEMP_2","","","TEGA Engineering data, Evolved Gas Analyzer Magnet 2 Temperature."
"phoenix:Observation_Information:2        phoenix:product_type:2                   Value:EGA_MINUS_12_VOLT","Value","EGA_MINUS_12_VOLT","","","TEGA Engineering data, Evolved Gas Analyzer -12 Monitor."
"phoenix:Observation_Information:2        phoenix:product_type:2                   Value:EGA_MIN_CALLS","Value","EGA_MIN_CALLS","","","TEGA Engineering data, Evolved Gas Analyzer Minimum # of Calls to Task Queue."
"phoenix:Observation_Information:2        phoenix:product_type:2                   Value:EGA_MIN_IDLE_CALLS","Value","EGA_MIN_IDLE_CALLS","","","TEGA Engineering data, Evolved Gas Analyzer Minimum # of Idle Calls to Task Queue."
"phoenix:Observation_Information:2        phoenix:product_type:2                   Value:EGA_MULTIPLIER_VOLT","Value","EGA_MULTIPLIER_VOLT","","","TEGA Engineering data, Evolved Gas Analyzer Multiplier Voltage Monitor."
